
   3) H2      + Q1D     = QH      + H            4.117E+06
   4) H2      + Q       = QH      + H            2.189E+05
   6) H       + O2Q     = QH      + O2           2.780E+09
  13) H       + HOQ     = QH      + OH           1.348E+08
  23) HO2     + Q       = QH      + O2           1.056E+10
  26) HO2     + O2Q     = QH      + O2      O2   1.188E+09
  64) Q       + HCO     = QH      + CO           7.708E+02
  76) H2CO    + Q       = HCO     + QH           7.891E+05
  78) H2O2    + Q       = QH      + HO2          4.545E+04
  80) CH4     + Q1D     = CH3     + QH           5.011E+06
 104) H3CO    + Q       = H2CO    + QH           4.493E+00
 135) NOQ     + H       = NO      + QH           3.132E+06
 144) HO2NO2  + Q       = NO2     + QH      O2   5.128E+02
 192) SO      + HQO     = SO2     + QH           7.338E+01
 209) HSO3    + Q       = QH      + SO3          1.000E-06
 211) H2S     + Q       = QH      + HS           4.409E+00
 213) HS      + OQ      = QH      + SO           6.500E+05
 222) S       + HQO     = SO      + QH           1.175E-07
 268) HSQ     + H       = HS      + QH           1.298E-01
 272) HSO     + Q       = QH      + SO           2.415E+03
 282) H2Q     + HV      = H       + QH           5.526E+07
 283) H2OQ    + HV      = QH      + OH           3.627E+08
 289) CH3OQH  + HV      = H3CO    + QH           1.056E+08
 293) HNOQ    + HV      = NO      + QH           2.690E+07
 295) HNO2Q   + HV      = NO2     + QH           8.984E+07
 308) H2SO3Q  + HV      = SO2     + QH      OH   3.724E-01
 329) H       + HQO     = OH      + QH           1.346E+08
 339) HQO     + HV      = QH      + O            3.292E+07
 343) NO      + HQO     = NO2     + QH           3.071E+09
 357) OH      + H2Q     = QH      + H2O          5.521E+10
 359) OH      + NQ      = QH      + NO           2.627E+09
 361) OH      + NOQ     = QH      + NO2          9.467E+08
 363) OH      + HQO     = QH      + HO2          5.510E+08

QH                     LOSS RXS                INT RX RATE    TLI =  7.96E+10
   5) H2      + QH      = H2Q     + H            1.698E+08
  14) QH      + O       = H       + OQ           1.263E+10
  16) QH      + HO2     = H2Q     + O2           3.134E+08
  32) H2O2    + QH      = HO2     + H2Q          1.515E+08
  40) QH      + OH      = H2Q     + O            1.245E+07
  41) QH      + OH      = H2O     + Q            1.245E+07
  54) CO      + QH      = COQ     + H            1.413E+09
  61) QH      + HCO     = H2Q     + CO           7.020E-01
  72) H2CO    + QH      = H2Q     + HCO          1.403E+08
  73) H       + QH      = H2Q     +              2.736E+04
  74) QH      + OH      = H2OQ    +              6.129E+05
  79) CH4     + QH      = CH3     + H2Q          5.125E+08
  88) CH3     + QH      = H2CQ    + H2           2.421E-10
 106) H3CO    + QH      = H2CO    + H2Q          5.169E+00
 116) N       + QH      = NQ      + H            2.540E+04
 128) NO      + QH      = HNOQ    +              2.666E+07
 133) NO2     + QH      = HNO2Q   +              1.488E+08
 137) HNO3    + QH      = H2Q     + NO3          4.992E+07
 141) HO2NO2  + QH      = NO2     + H2Q     O2   3.942E+07
 150) CH3OOH  + QH      = CH3O2   + H2Q          2.177E+08
 152) CH3O2   + QH      = H3CO    + HQO          2.284E+07
 170) QH      + NO3     = HQO     + NO2          5.392E+05
 196) SO      + QH      = SOQ     + H            4.170E+00
 198) SO2     + QH      = HSO2Q   +              1.044E+07
 206) HSO3    + QH      = H2Q     + SO3          1.455E-04
 210) H2S     + QH      = H2Q     + HS           1.447E+06
 219) S       + QH      = SQ      + H            1.039E-06
 267) HSO     + QH      = H2Q     + SO           7.748E+05
 331) QH      + O3      = HQO     + O2           4.317E+09
 356) QH      + H2O     = OH      + H2Q          5.530E+10
 358) QH      + NO      = OH      + NQ           2.673E+09
 360) QH      + NO2     = OH      + NOQ          8.974E+08
 362) QH      + HO2     = OH      + HQO          5.371E+08

HOQ                 PRODUCTION RXS              INT RX RATE    TPI =  1.83E+10
   9) H       + OQ      = HOQ     +              1.243E+10
  19) OH      + O2Q     = HOQ     + O2           4.789E+09
  31) H2OQ    + OH      = HOQ     + H2O          1.519E+08
  70) HCO     + OQ      = HOQ     + CO           2.465E+08
  77) H2OQ    + O       = OH      + HOQ          5.090E+04
  91) CH3     + O2Q     = H2CO    + HOQ          1.369E+04
 102) H3CO    + OQ      = H2CO    + HOQ          4.383E+08
 146) HOQNO2  + HV      = HOQ     + NO2          2.038E+08
 151) CH3OQ   + OH      = H3CO    + HOQ          2.279E+07
 171) OH      + NO2Q    = HOQ     + NO2          5.618E+05
 204) HSO3    + OQ      = HOQ     + SO3          1.033E+07
 315) HOQNO2  + HV      = HOQ     + NO2          2.125E+07

HOQ                    LOSS RXS                INT RX RATE    TLI =  1.83E+10
  10) H       + HOQ     = H2      + OQ           1.049E+07
  12) H       + HOQ     = H2O     + Q            4.494E+06
  13) H       + HOQ     = QH      + OH           1.348E+08
  17) OH      + HOQ     = H2O     + OQ           3.376E+08
  22) HOQ     + O       = OH      + OQ           1.189E+10
  25) HOQ     + O3      = OH      + O2      OQ   1.138E+09
  29) HOQ     + HO2     = H2OQ    + O2           4.337E+08
  30) HOQ     + HO2     = H2O2    + OQ           4.337E+08
  95) CH3O2   + HOQ     = CH3OOH  + OQ           3.992E+08
 125) NO      + HOQ     = NOQ     + OH           3.228E+09
 138) HOQ     + NO2     = HOQNO2  +              2.658E+08
 173) HOQ     + NO3     = HNO3    + OQ           3.738E+05
 191) SO      + HOQ     = SOQ     + OH           7.379E+01
 215) HS      + HOQ     = H2S     + OQ           2.206E+03
 220) S       + HOQ     = HS      + OQ           1.185E-07
 221) S       + HOQ     = SQ      + OH           1.185E-07
 288) HOQ     + HV      = OH      + Q            3.393E+07

H2OQ                PRODUCTION RXS              INT RX RATE    TPI =  8.65E+08
  29) HOQ     + HO2     = H2OQ    + O2           4.337E+08
  74) QH      + OH      = H2OQ    +              6.129E+05
 335) HQO     + HO2     = H2OQ    + O2           4.303E+08

H2OQ                   LOSS RXS                INT RX RATE    TLI =  8.19E+08
  31) H2OQ    + OH      = HOQ     + H2O          1.519E+08
  77) H2OQ    + O       = OH      + HOQ          5.090E+04
 283) H2OQ    + HV      = QH      + OH           3.627E+08
 336) H2OQ    + OH      = HQO     + H2O          1.519E+08
 338) H2OQ    + O       = HQO     + OH           5.090E+04

O2Q                 PRODUCTION RXS              INT RX RATE    TPI =  1.94E+13
  34) Q       + O2      = O2Q     +              6.825E+12
  35) O       + OQ      = O2Q     +              1.259E+13

O2Q                    LOSS RXS                INT RX RATE    TLI =  1.94E+13
   6) H       + O2Q     = QH      + O2           2.780E+09
   7) H       + O2Q     = OH      + OQ           2.780E+09
  19) OH      + O2Q     = HOQ     + O2           4.789E+09
  20) OH      + O2Q     = HO2     + OQ           4.789E+09
  26) HO2     + O2Q     = QH      + O2      O2   1.188E+09
  27) HO2     + O2Q     = OH      + O2      OQ   1.188E+09
  39) O       + O2Q     = O2      + OQ           5.656E+09
  45) O2Q     + HV      = OQ      + O1D          2.710E+12
  46) O2Q     + HV      = O2      + Q1D          2.710E+12
  49) O2Q     + HV      = OQ      + O            6.912E+12
  50) O2Q     + HV      = O2      + Q            6.912E+12
  90) CH3     + O2Q     = H2CQ    + HO2          1.369E+04
  91) CH3     + O2Q     = H2CO    + HOQ          1.369E+04
 113) N       + O2Q     = NQ      + O2           1.239E+02
 114) N       + O2Q     = NO      + OQ           1.239E+02
 119) NO      + O2Q     = NOQ     + O2           7.447E+10
 120) NO      + O2Q     = NO2     + OQ           7.447E+10
 154) O2Q     + NO2     = OQ      + NO3          9.462E+07
 155) O2Q     + NO2     = O2      + NO2Q         9.462E+07
 242) SO      + O2Q     = SOQ     + O2           6.559E+02
 243) SO      + O2Q     = SO2     + OQ           6.559E+02
 248) HS      + O2Q     = HSQ     + O2           8.487E+05
 249) HS      + O2Q     = HSO     + OQ           8.487E+05
 253) S       + O2Q     = SQ      + O2           6.128E-04
 254) S       + O2Q     = SO      + OQ           6.128E-04

OQO                 PRODUCTION RXS              INT RX RATE    TPI =  8.90E+12
  36) O       + OQ      = OQO     +              8.900E+12

OQO                    LOSS RXS                INT RX RATE    TLI =  8.90E+12
   8) H       + OQO     = OH      + OQ           2.546E+09
  21) OH      + OQO     = HO2     + OQ           4.364E+09
  28) HO2     + OQO     = OH      + O2      OQ   1.088E+09
  38) O       + OQO     = O2      + OQ           2.554E+09
  47) OQO     + HV      = OQ      + O1D          2.463E+12
  48) OQO     + HV      = OQ      + O            6.358E+12
 115) N       + OQO     = NO      + OQ           1.121E+02
 121) NO      + OQO     = NO2     + OQ           6.837E+10
 156) OQO     + NO2     = OQ      + NO3          8.695E+07
 244) SO      + OQO     = SO2     + OQ           6.030E+02
 250) HS      + OQO     = HSO     + OQ           7.773E+05
 255) S       + OQO     = SO      + OQ           5.622E-04
 340) CH3     + OQO     = H2CO    + HQO          1.241E+04

CQ                  PRODUCTION RXS              INT RX RATE    TPI =  4.36E+08
  51) COQ     + HV      = CQ      + O            3.564E+06
  58) H       + HCQ     = H2      + CQ           1.425E+01
  62) OH      + HCQ     = H2O     + CQ           7.478E-01
  65) O       + HCQ     = OH      + CQ           8.840E+02
  67) COQ     + HV      = CQ      + O1D          3.567E+06
  69) HCQ     + O2      = HO2     + CQ           2.466E+08
 216) HS      + HCQ     = H2S     + CQ           6.211E-08
 260) S       + COQ     = SO      + CQ           1.231E-10
 264) SO      + HCQ     = HSO     + CQ           5.706E-10
 284) H2CQ    + HV      = H2      + CQ           1.819E+08
 286) HCQ     + HV      = H       + CQ           4.267E+00

CQ                     LOSS RXS                INT RX RATE    TLI =  1.41E+09
  53) CQ      + OH      = COQ     + H            1.405E+09
  55) CQ      + O       = COQ     +              1.634E+03
  57) H       + CQ      = HCQ     +              1.370E+01

CH3OQH              PRODUCTION RXS              INT RX RATE    TPI =  3.97E+08
  93) CH3OQ   + HO2     = CH3OQH  + O2           3.974E+08

CH3OQH                 LOSS RXS                INT RX RATE    TLI =  3.79E+08
 148) CH3OQH  + OH      = CH3OQ   + H2O          2.168E+08
 289) CH3OQH  + HV      = H3CO    + QH           1.056E+08

CH3QOH              PRODUCTION RXS              INT RX RATE    TPI =  3.97E+08
  94) CH3QO   + HO2     = CH3QOH  + O2           3.974E+08

CH3QOH                 LOSS RXS                INT RX RATE    TLI =  3.79E+08
 149) CH3QOH  + OH      = CH3QO   + H2O          2.168E+08
 290) CH3QOH  + HV      = H3CQ    + OH           1.056E+08

CH3OQ               PRODUCTION RXS              INT RX RATE    TPI =  7.31E+08
  86) CH3     + OQ      = CH3OQ   +              5.142E+08
 148) CH3OQH  + OH      = CH3OQ   + H2O          2.168E+08

CH3OQ                  LOSS RXS                INT RX RATE    TLI =  7.30E+08
  93) CH3OQ   + HO2     = CH3OQH  + O2           3.974E+08
  97) CH3OQ   + CH3O2   = H3CO    + H3CO    OQ   7.367E+06
  98) CH3OQ   + NO      = H3CO    + NOQ          3.025E+08
 151) CH3OQ   + OH      = H3CO    + HOQ          2.279E+07

CH3QO               PRODUCTION RXS              INT RX RATE    TPI =  7.31E+08
  87) CH3     + OQ      = CH3QO   +              5.142E+08
 149) CH3QOH  + OH      = CH3QO   + H2O          2.168E+08

CH3QO                  LOSS RXS                INT RX RATE    TLI =  7.30E+08
  94) CH3QO   + HO2     = CH3QOH  + O2           3.974E+08
  96) CH3QO   + CH3O2   = H3CO    + H3CQ    O2   7.367E+06
  99) CH3QO   + NO      = H3CQ    + NO2          3.025E+08
 153) CH3QO   + OH      = H3CQ    + HO2          2.279E+07

N2Q                 PRODUCTION RXS              INT RX RATE    TPI =  1.01E+04
 274) N2      + Q1D     = N2Q     +              1.012E+04

N2Q                    LOSS RXS                INT RX RATE    TLI =  4.03E+06
 107) N2Q     + O1D     = NQ      + NO           3.365E+05
 109) N2Q     + O1D     = N2      + OQ           2.461E+05
 275) N2Q     + H       = N2      + OH           3.565E+04
 276) N2Q     + NO      = NOQ     + N2           1.131E-28
 291) N2Q     + HV      = N2      + Q            3.366E+06

NQ                  PRODUCTION RXS              INT RX RATE    TPI =  2.07E+11
 107) N2Q     + O1D     = NQ      + NO           3.365E+05
 108) N2O     + Q1D     = NQ      + NO           3.691E+05
 111) N       + OQ      = NQ      + O            4.449E+05
 113) N       + O2Q     = NQ      + O2           1.239E+02
 116) N       + QH      = NQ      + H            2.540E+04
 129) NOQ     + O       = NQ      + O2           9.729E+09
 134) NOQ     + H       = NQ      + OH           3.132E+06
 158) NOQ     + NO3     = NQ      + NO2     O2   7.089E+02
 161) NO2     + NO2Q    = NQ      + NO2     O2   1.056E+03
 240) SO      + NOQ     = SO2     + NQ           9.887E+01
 252) HS      + NOQ     = HSO     + NQ           9.279E+03
 292) HNOQ    + HV      = NQ      + OH           2.690E+07
 297) NOQ     + HV      = NQ      + O            6.662E+10
 354) Q       + NO      = O       + NQ           1.277E+11
