 
 ----------START O ISOTOPE CALCULATION----------
 
  Gross Primary Productivity FOR O2 CO2= 1.16E+14  8.45E+13 cm-2s-1
  TURN OFF Combinatorial Effect
  TURN ON Symmetry Effect
 
 INITIAL MIXING RATIOS OF ISOTOPIC SPECIES
 
Alt(km)  H2CQ     Q        H2Q      QH       HOQ      H2OQ     O2Q      OQO      CQ       CH3OQH  
  77.5   2.06E-13 7.59E-10 6.34E-09 1.75E-11 6.98E-12 5.62E-12 3.93E-11 1.97E-11 3.88E-10 2.12E-16
  79.5   2.52E-13 1.02E-09 5.75E-09 2.37E-11 8.39E-12 5.82E-12 2.61E-11 1.30E-11 5.22E-10 1.23E-16
  81.5   3.32E-13 3.98E-09 5.02E-09 1.71E-11 5.94E-12 3.79E-12 3.84E-11 1.92E-11 6.99E-10 5.56E-17
  83.5   2.88E-13 4.76E-08 4.18E-09 3.35E-12 1.06E-12 1.39E-12 1.76E-10 8.79E-11 9.10E-10 2.22E-17
  85.5   1.47E-13 2.13E-07 3.41E-09 1.38E-12 2.80E-13 4.83E-13 3.98E-10 1.99E-10 1.13E-09 8.89E-18
  87.5   7.31E-14 5.94E-07 2.76E-09 7.32E-13 9.39E-14 1.67E-13 5.71E-10 2.86E-10 1.36E-09 3.58E-18
  89.5   4.30E-14 1.27E-06 2.23E-09 4.27E-13 3.67E-14 5.71E-14 6.72E-10 3.36E-10 1.60E-09 1.45E-18
  91.5   2.60E-14 2.32E-06 1.79E-09 2.47E-13 1.56E-14 1.93E-14 6.33E-10 3.17E-10 1.84E-09 5.92E-19
  93.5   1.76E-14 3.77E-06 1.45E-09 1.44E-13 7.19E-15 6.44E-15 5.52E-10 2.76E-10 2.07E-09 2.43E-19
  95.5   1.29E-14 5.64E-06 1.18E-09 8.33E-14 3.51E-15 2.15E-15 4.43E-10 2.22E-10 2.31E-09 1.02E-19
  97.5   1.02E-14 7.89E-06 9.86E-10 4.72E-14 1.80E-15 7.49E-16 3.27E-10 1.64E-10 2.55E-09 4.50E-20
  99.5   8.52E-15 1.04E-05 8.65E-10 2.62E-14 9.54E-16 3.53E-16 2.22E-10 1.11E-10 2.77E-09 2.59E-20
Alt(km)  H2CQ     Q        H2Q      QH       HOQ      H2OQ     O2Q      OQO      CQ       CH3OQH  
 
Alt(km)  CH3QOH   CH3OQ    CH3QO    N2Q      NQ       NOQ      HNOQ     HNO2Q    HOQNO2   HO2NOQ  
   0.5   7.19E-13 5.23E-15 5.23E-15 2.31E-10 2.52E-15 1.48E-14 2.88E-17 1.51E-13 1.14E-16 2.27E-16
   1.5   7.18E-13 5.00E-15 5.00E-15 2.31E-10 3.20E-15 1.71E-14 3.90E-17 2.31E-13 2.87E-16 5.75E-16
   2.5   6.69E-13 4.64E-15 4.64E-15 2.31E-10 4.06E-15 1.99E-14 5.24E-17 3.33E-13 7.53E-16 1.51E-15
   3.5   5.64E-13 4.02E-15 4.02E-15 2.31E-10 5.31E-15 2.36E-14 7.02E-17 4.37E-13 2.02E-15 4.03E-15
   5.5   3.18E-13 2.59E-15 2.59E-15 2.31E-10 8.93E-15 3.07E-14 1.15E-16 5.95E-13 1.32E-14 2.64E-14
   7.5   1.53E-13 1.49E-15 1.49E-15 2.30E-10 1.10E-14 2.63E-14 1.08E-16 6.41E-13 4.07E-14 8.15E-14
   9.5   6.34E-14 7.17E-16 7.17E-16 2.30E-10 1.69E-14 2.64E-14 1.33E-16 6.61E-13 5.18E-14 1.04E-13
  11.5   1.36E-14 2.11E-16 2.11E-16 2.30E-10 3.70E-14 3.92E-14 2.21E-16 7.75E-13 3.67E-14 7.34E-14
  13.5   1.23E-15 8.38E-17 8.38E-17 2.28E-10 6.85E-14 1.01E-13 1.85E-16 1.42E-12 3.02E-14 6.05E-14
  15.5   3.77E-16 5.81E-17 5.81E-17 2.21E-10 1.14E-13 2.92E-13 2.08E-16 3.33E-12 4.70E-14 9.40E-14
  17.5   3.50E-16 5.61E-17 5.61E-17 2.10E-10 1.71E-13 6.44E-13 2.61E-16 6.62E-12 8.41E-14 1.68E-13
  19.5   5.02E-16 6.74E-17 6.74E-17 1.95E-10 2.33E-13 1.10E-12 3.38E-16 1.09E-11 1.38E-13 2.76E-13
